hpName,mpName,hpId,mpId
Absent gallbladder (HPO),absent gallbladder (MPO),HP:0011467,MP:0003250
Cholecystitis (HPO),gallbladder inflammation (MPO),HP:0001082,MP:0003251
Cholangitis (HPO),bile duct inflammation (MPO),HP:0030151,MP:0003254
Bile duct proliferation (HPO),bile duct proliferation (MPO),HP:0001408,MP:0003255
Biliary cirrhosis (HPO),biliary cirrhosis (MPO),HP:0002613,MP:0003256
Hiatus hernia (HPO),hiatal hernia (MPO),HP:0002036,MP:0003258
Nausea (HPO),nausea (MPO),HP:0002018,MP:0003259
Vomiting (HPO),vomiting (MPO),HP:0002013,MP:0003260
Hematemesis (HPO),hematemesis (MPO),HP:0002248,MP:0003261
Cyst of the ductus choledochus (HPO),biliary cyst (MPO),HP:0100890,MP:0003266
Chronic constipation (HPO),chronic constipation (MPO),HP:0012450,MP:0003268
Esophagitis (HPO),esophageal inflammation (MPO),HP:0100633,MP:0003278
Urinary incontinence (HPO),urinary incontinence (MPO),HP:0000020,MP:0003280
Bowel incontinence (HPO),fecal incontinence (MPO),HP:0002607,MP:0003281
Gastroesophageal reflux (HPO),gastroesophageal reflux (MPO),HP:0002020,MP:0003286
Hematochezia (HPO),rectal hemorrhage (MPO),HP:0002573,MP:0003293
Intussusception (HPO),intussusception (MPO),HP:0002576,MP:0003294
Peptic ulcer (HPO),peptic ulcer (MPO),HP:0004398,MP:0003301
Pyloric stenosis (HPO),pyloric stenosis (MPO),HP:0002021,MP:0003307
Dysmetria (HPO),dysmetria (MPO),HP:0001310,MP:0003314
Anoperineal fistula (HPO),anoperineal fistula (MPO),HP:0005218,MP:0003317
Rectoperineal fistula (HPO),rectoperineal fistula (MPO),HP:0004792,MP:0003318
Rectovaginal fistula (HPO),rectovaginal fistula (MPO),HP:0000143,MP:0003320
Hepatic fibrosis (HPO),liver fibrosis (MPO),HP:0001395,MP:0003333
Pancreatic fibrosis (HPO),pancreas fibrosis (MPO),HP:0100732,MP:0003334
Chronic pancreatitis (HPO),chronic pancreas inflammation (MPO),HP:0006280,MP:0003341
Accessory spleen (HPO),accessory spleen (MPO),HP:0001747,MP:0003342
Polysplenia (HPO),accessory spleen (MPO),HP:0001748,MP:0003342
Breast hypoplasia (HPO),mammary gland hypoplasia (MPO),HP:0003187,MP:0003344
Abnormal pectoral muscle morphology (HPO),abnormal pectoral muscle morphology (MPO),HP:0011957,MP:0003346
Astrocytosis (HPO),astrocytosis (MPO),HP:0002446,MP:0003354
Abnormal circulating gonadotropin level (HPO),abnormal circulating gonadotropin level (MPO),HP:0030338,MP:0003361
Increased circulating gonadotropin level (HPO),increased circulating gonadotropin level (MPO),HP:0000837,MP:0003362
Decreased circulating gonadotropin level (HPO),decreased circulating gonadotropin level (MPO),HP:0030339,MP:0003363
Abnormal circulating estrogen level (HPO),abnormal circulating estrogen level (MPO),HP:0025132,MP:0003369
Precocious puberty (HPO),early sexual maturation (MPO),HP:0000826,MP:0003378
Coarctation of aorta (HPO),aorta coarctation (MPO),HP:0001680,MP:0003387
Lymphedema (HPO),lymphedema (MPO),HP:0001004,MP:0003390
Abnormal subclavian artery morphology (HPO),abnormal subclavian artery morphology (MPO),HP:0031251,MP:0003395
Epidermoid cyst (HPO),epidermal cyst (MPO),HP:0200040,MP:0003414
Parakeratosis (HPO),parakeratosis (MPO),HP:0001036,MP:0003427
Hyperparathyroidism (HPO),increased activity of parathyroid (MPO),HP:0000843,MP:0003432
Hypoparathyroidism (HPO),decreased activity of parathyroid (MPO),HP:0000829,MP:0003433
Decreased circulating glycerol level (HPO),decreased circulating glycerol level (MPO),HP:0031794,MP:0003442
Sirenomelia (HPO),sirenomelia (MPO),HP:0010497,MP:0003445
Abnormal parotid gland morphology (HPO),abnormal parotid gland morphology (MPO),HP:0000197,MP:0003452
Erythroderma (HPO),erythroderma (MPO),HP:0001019,MP:0003454
Thyroiditis (HPO),thyroid gland inflammation (MPO),HP:0100646,MP:0003504
Hyperplastic labia majora (HPO),enlarged labia majora (MPO),HP:0012882,MP:0003517
Hypoplastic labia majora (HPO),small labia majora (MPO),HP:0000059,MP:0003518
Clitoral hypertrophy (HPO),enlarged clitoris (MPO),HP:0008665,MP:0003529
Clitoral hypoplasia (HPO),small clitoris (MPO),HP:0000060,MP:0003530
Septate vagina (HPO),bifid vagina (MPO),HP:0001153,MP:0003533
Blind vagina (HPO),blind vagina (MPO),HP:0040314,MP:0003534
Vaginal dryness (HPO),vagina dryness (MPO),HP:0031088,MP:0003536
Hydrometrocolpos (HPO),hydrometrocolpos (MPO),HP:0030010,MP:0003537
Imperforate hymen (HPO),imperforate hymen (MPO),HP:0030011,MP:0003540
Vaginitis (HPO),vaginal inflammation (MPO),HP:0030683,MP:0003541
Phimosis (HPO),phimosis (MPO),HP:0001741,MP:0003554
Chordee (HPO),chordee (MPO),HP:0000041,MP:0003555
Absent vas deferens (HPO),absent vas deferens (MPO),HP:0012873,MP:0003557
Osteoarthritis (HPO),osteoarthritis (MPO),HP:0002758,MP:0003560
Rheumatoid arthritis (HPO),rheumatoid arthritis (MPO),HP:0001370,MP:0003561
Aplasia of the ovary (HPO),absent ovary (MPO),HP:0010463,MP:0003578
Ovarian carcinoma (HPO),increased ovarian carcinoma incidence (MPO),HP:0025318,MP:0003579
Hydroureter (HPO),large ureter (MPO),HP:0000072,MP:0003585
Abnormal ureter physiology (HPO),abnormal ureter physiology (MPO),HP:0025634,MP:0003589
Vesicoureteral reflux (HPO),ureteral reflux (MPO),HP:0000076,MP:0003590
Urethrovaginal fistula (HPO),urethrovaginal fistula (MPO),HP:0008716,MP:0003593
Epididymal cyst (HPO),epididymal cyst (MPO),HP:0030424,MP:0003595
Epispadias (HPO),epispadia (MPO),HP:0000039,MP:0003598
Renal hamartoma (HPO),increased renal hamartoma incidence (MPO),HP:0008696,MP:0003602
Unilateral renal agenesis (HPO),single kidney (MPO),HP:0000122,MP:0003604
Prostatitis (HPO),prostate gland inflammation (MPO),HP:0000024,MP:0003608
Small scrotum (HPO),small scrotum (MPO),HP:0030276,MP:0003609
Cystocele (HPO),urinary bladder prolapse (MPO),HP:0100645,MP:0003614
Bladder diverticulum (HPO),urinary bladder diverticulum (MPO),HP:0000015,MP:0003615
Oliguria (HPO),oliguria (MPO),HP:0100520,MP:0003620
Dysuria (HPO),dysuria (MPO),HP:0100518,MP:0003621
Urinary retention (HPO),ischuria (MPO),HP:0000016,MP:0003622
Abnormal synaptic transmission (HPO),abnormal synaptic transmission (MPO),HP:0012535,MP:0003635
Pulmonary hypoplasia (HPO),small lung (MPO),HP:0002089,MP:0003641
Chylothorax (HPO),chylothorax (MPO),HP:0010310,MP:0003660
Angiosarcoma (HPO),increased hemangiosarcoma incidence (MPO),HP:0200058,MP:0003667
Absent earlobe (HPO),absent ear lobes (MPO),HP:0000387,MP:0003678
Large earlobe (HPO),thick ear lobes (MPO),HP:0009748,MP:0003680
Large earlobe (HPO),prominent ear lobes (MPO),HP:0009748,MP:0003683
Ophthalmoparesis (HPO),ophthalmoparesis (MPO),HP:0000597,MP:0003688
Xanthelasma (HPO),xanthoma (MPO),HP:0001114,MP:0003692
Abnormal zona pellucida morphology (HPO),abnormal zona pellucida morphology (MPO),HP:0020156,MP:0003696
Pallor (HPO),pallor (MPO),HP:0000980,MP:0003717
Cupped ear (HPO),cup-shaped ears (MPO),HP:0000378,MP:0003735
Calcification of the auricular cartilage (HPO),ossification of pinnae (MPO),HP:0005103,MP:0003737
Fusion of middle ear ossicles (HPO),fusion of middle ear ossicles (MPO),HP:0005473,MP:0003740
Tinnitus (HPO),tinnitus (MPO),HP:0000360,MP:0003741
Dolichocephaly (HPO),narrow head (MPO),HP:0000268,MP:0003742
Stomatitis (HPO),stomatitis (MPO),HP:0010280,MP:0003746
Downturned corners of mouth (HPO),down-turned corners of mouth (MPO),HP:0002714,MP:0003749
Oral leukoplakia (HPO),oral leukoplakia (MPO),HP:0002745,MP:0003751
Abnormal palate morphology (HPO),abnormal palate morphology (MPO),HP:0000174,MP:0003755
Eclabion (HPO),eclabion (MPO),HP:0012472,MP:0003773
Thick vermilion border (HPO),thick lip (MPO),HP:0012471,MP:0003774
Cheilitis (HPO),lip inflammation (MPO),HP:0100825,MP:0003777
Abnormal cortical bone morphology (HPO),abnormal compact bone morphology (MPO),HP:0003103,MP:0003797
Camptodactyly (HPO),camptodactyly (MPO),HP:0012385,MP:0003807
Brittle hair (HPO),brittle hair (MPO),HP:0002299,MP:0003848
Dry skin (HPO),dry skin (MPO),HP:0000958,MP:0003853
Lymphadenitis (HPO),lymph node inflammation (MPO),HP:0002840,MP:0003865
Abnormal stool composition (HPO),abnormal feces composition (MPO),HP:0031685,MP:0003868
Abnormal nephron morphology (HPO),abnormal nephron morphology (MPO),HP:0012575,MP:0003881
Abnormal pulse pressure (HPO),abnormal pulse pressure (MPO),HP:0030850,MP:0003882
Prolonged PR interval (HPO),prolonged PR interval (MPO),HP:0012248,MP:0003896
Abnormal ST segment (HPO),abnormal ST segment (MPO),HP:0012249,MP:0003897
Abnormal QRS complex (HPO),abnormal QRS complex (MPO),HP:0025074,MP:0003898
Abnormal QT interval (HPO),abnormal QT interval (MPO),HP:0031547,MP:0003899
Shortened QT interval (HPO),shortened QT interval (MPO),HP:0012232,MP:0003900
Abnormal PR interval (HPO),abnormal PR interval (MPO),HP:0031593,MP:0003901
Congenital diaphragmatic hernia (HPO),diaphragmatic hernia (MPO),HP:0000776,MP:0003924
Increased heart rate variability (HPO),increased heart rate variability (MPO),HP:0031862,MP:0003928
Decreased heart rate variability (HPO),decreased heart rate variability (MPO),HP:0031861,MP:0003929
Agenesis of molar (HPO),absent molars (MPO),HP:0011054,MP:0003931
Abnormal lymphocyte physiology (HPO),abnormal lymphocyte physiology (MPO),HP:0031409,MP:0003945
Abnormal growth hormone level (HPO),abnormal growth hormone level (MPO),HP:0032367,MP:0003968
Abnormal circulating luteinizing hormone level (HPO),abnormal luteinizing hormone level (MPO),HP:0030345,MP:0003969
Abnormal prolactin level (HPO),abnormal prolactin level (MPO),HP:0040086,MP:0003970
Abnormal thyroid-stimulating hormone level (HPO),abnormal thyroid-stimulating hormone level (MPO),HP:0031097,MP:0003971
Renal fibrosis (HPO),renal fibrosis (MPO),HP:0030760,MP:0003985
Arteriosclerosis (HPO),arteriosclerosis (MPO),HP:0002634,MP:0003991
Generalized tonic-clonic seizures (HPO),tonic-clonic seizures (MPO),HP:0002069,MP:0003997
Elevated pulmonary artery pressure (HPO),increased pulmonary artery pressure (MPO),HP:0004890,MP:0004012
Polyhydramnios (HPO),polyhydramnios (MPO),HP:0001561,MP:0004020
Chromosome breakage (HPO),chromosome breakage (MPO),HP:0040012,MP:0004028
Aortic dissection (HPO),aortic dissection (MPO),HP:0002647,MP:0004044
Thin myocardium compact layer (HPO),thin myocardium compact layer (MPO),HP:0031196,MP:0004057
Right atrial enlargement (HPO),dilated heart right atrium (MPO),HP:0030718,MP:0004062
Abnormal P wave (HPO),abnormal P wave (MPO),HP:0031595,MP:0004070
Abnormal caudate nucleus morphology (HPO),abnormal caudate nucleus morphology (MPO),HP:0002339,MP:0004078
Abnormal putamen morphology (HPO),abnormal putamen morphology (MPO),HP:0031982,MP:0004079
Abnormal globus pallidus morphology (HPO),abnormal globus pallidus morphology (MPO),HP:0002453,MP:0004081
Abnormal muscle fiber morphology (HPO),abnormal muscle fiber morphology (MPO),HP:0004303,MP:0004087
Abnormal coronary artery morphology (HPO),abnormal coronary artery morphology (MPO),HP:0006704,MP:0004111
Hypokalemia (HPO),hypokalemia (MPO),HP:0002900,MP:0004119
Heterotaxy (HPO),heterotaxia (MPO),HP:0030853,MP:0004133
Spasticity (HPO),muscle hypertonia (MPO),HP:0001257,MP:0004143
Acute tubular necrosis (HPO),renal tubular necrosis (MPO),HP:0008682,MP:0004154
Interrupted aortic arch (HPO),interrupted aortic arch (MPO),HP:0011611,MP:0004157
Right aortic arch (HPO),right aortic arch (MPO),HP:0012020,MP:0004158
Double aortic arch (HPO),double aortic arch (MPO),HP:0011590,MP:0004159
Cervical aortic arch (HPO),cervical aortic arch (MPO),HP:0011588,MP:0004161
Abnormal carotid artery morphology (HPO),abnormal carotid artery morphology (MPO),HP:0005344,MP:0004181
Abnormal renal pelvis morphology (HPO),abnormal kidney pelvis morphology (MPO),HP:0010944,MP:0004194
Acantholysis (HPO),acantholysis (MPO),HP:0100792,MP:0004241
Cerebral amyloid angiopathy (HPO),cerebral amyloid angiopathy (MPO),HP:0011970,MP:0004254
Retrognathia (HPO),retrognathia (MPO),HP:0000278,MP:0004282
Vestibular saccular degeneration (HPO),vestibular saccular degeneration (MPO),HP:0031000,MP:0004329
Short clavicles (HPO),clavicle hypoplasia (MPO),HP:0000894,MP:0004337
Scapular aplasia (HPO),absent scapula (MPO),HP:0010317,MP:0004341
Hypoplastic scapulae (HPO),small scapula (MPO),HP:0000882,MP:0004343
Hypoplasia of the radius (HPO),short radius (MPO),HP:0002984,MP:0004355
Hypoplasia of the ulna (HPO),short ulna (MPO),HP:0003022,MP:0004359
Testicular teratoma (HPO),increased testicular teratoma incidence (MPO),HP:0100616,MP:0004478
Myositis (HPO),myositis (MPO),HP:0100614,MP:0004510
Anosmia (HPO),anosmia (MPO),HP:0000458,MP:0004512
Aplasia of the maxilla (HPO),absent maxilla (MPO),HP:0010667,MP:0004539
Hypoplasia of the maxilla (HPO),small maxilla (MPO),HP:0000327,MP:0004540
Aplasia of the Eustachian tube (HPO),absent auditory tube (MPO),HP:0040116,MP:0004541
Micrognathia (HPO),small mandible (MPO),HP:0000347,MP:0004592
Vertebral fusion (HPO),vertebral fusion (MPO),HP:0002948,MP:0004609
Hypoplastic vertebral bodies (HPO),small vertebrae (MPO),HP:0008479,MP:0004610
Vertebral fusion (HPO),fusion of vertebral bodies (MPO),HP:0002948,MP:0004612
Vertebral compression fractures (HPO),vertebral compression (MPO),HP:0002953,MP:0004626
Abnormal number of vertebrae (HPO),abnormal vertebrae number (MPO),HP:0030304,MP:0004643
Bifid xiphoid process (HPO),split xiphoid process (MPO),HP:0100891,MP:0004678
Unilateral deafness (HPO),unilateral deafness (MPO),HP:0009900,MP:0004699
Abnormal circulating gastrin level (HPO),abnormal circulating gastrin level (MPO),HP:0500166,MP:0004730
Conductive hearing impairment (HPO),conductive hearing loss (MPO),HP:0000405,MP:0004739
Sensorineural hearing impairment (HPO),sensorineural hearing loss (MPO),HP:0000407,MP:0004740
Mixed hearing impairment (HPO),mixed hearing loss (MPO),HP:0000410,MP:0004741
Biliary hyperplasia (HPO),bile duct hyperplasia (MPO),HP:0006560,MP:0004839
Abnormal vestibulo-ocular reflex (HPO),abnormal vestibuloocular reflex (MPO),HP:0007670,MP:0004844
Endometrial carcinoma (HPO),increased endometrial carcinoma incidence (MPO),HP:0012114,MP:0004868
Hypoplasia of the premaxilla (HPO),small premaxilla (MPO),HP:0010650,MP:0004870
Absent nasal septal cartilage (HPO),absent nasal septum (MPO),HP:0005273,MP:0004872
Abnormal adiponectin level (HPO),abnormal adiponectin level (MPO),HP:0030684,MP:0004891
Increased adiponectin level (HPO),increased adiponectin level (MPO),HP:0030686,MP:0004892
Decreased adiponectin level (HPO),decreased adiponectin level (MPO),HP:0030685,MP:0004893
Otosclerosis (HPO),otosclerosis (MPO),HP:0000362,MP:0004897
Inflammatory abnormality of the skin (HPO),skin inflammation (MPO),HP:0011123,MP:0004947
Osteolysis (HPO),increased bone resorption (MPO),HP:0002797,MP:0004992
Eosinophilia (HPO),increased eosinophil cell number (MPO),HP:0001880,MP:0005011
Decreased eosinophil count (HPO),decreased eosinophil cell number (MPO),HP:0031891,MP:0005012
Lymphocytosis (HPO),increased lymphocyte cell number (MPO),HP:0100827,MP:0005013
Lymphopenia (HPO),decreased lymphocyte cell number (MPO),HP:0001888,MP:0005016
Sepsis (HPO),sepsis (MPO),HP:0100806,MP:0005044
Abnormal thrombosis (HPO),abnormal thrombosis (MPO),HP:0001977,MP:0005048
Abnormal eosinophil morphology (HPO),abnormal eosinophil morphology (MPO),HP:0001879,MP:0005061
Abnormal gallbladder morphology (HPO),abnormal gallbladder morphology (MPO),HP:0012437,MP:0005084
Abnormal T cell proliferation (HPO),abnormal T cell proliferation (MPO),HP:0031379,MP:0005094
Abnormal choroid morphology (HPO),abnormal optic choroid morphology (MPO),HP:0000610,MP:0005098
Abnormal iris pigmentation (HPO),abnormal iris pigmentation (MPO),HP:0008034,MP:0005102
Increased circulating prolactin concentration (HPO),increased circulating prolactin level (MPO),HP:0000870,MP:0005124
Decreased thyroid-stimulating hormone level (HPO),decreased thyroid-stimulating hormone level (MPO),HP:0031098,MP:0005134
Increased thyroid-stimulating hormone level (HPO),increased thyroid-stimulating hormone level (MPO),HP:0002925,MP:0005135
Abnormal B cell proliferation (HPO),abnormal B cell proliferation (MPO),HP:0031380,MP:0005153
Bradykinesia (HPO),bradykinesia (MPO),HP:0002067,MP:0005156
Holoprosencephaly (HPO),holoprosencephaly (MPO),HP:0001360,MP:0005157
Azoospermia (HPO),azoospermia (MPO),HP:0000027,MP:0005159
Hematuria (HPO),hematuria (MPO),HP:0000790,MP:0005161
Wrist drop (HPO),carpoptosis (MPO),HP:0031189,MP:0005162
Cyclopia (HPO),cyclopia (MPO),HP:0009914,MP:0005163
Cleft upper lip (HPO),cleft upper lip (MPO),HP:0000204,MP:0005170
Abnormal circulating progesterone level (HPO),abnormal circulating progesterone level (MPO),HP:0031212,MP:0005184
Micropenis (HPO),small penis (MPO),HP:0000054,MP:0005188
Microphallus (HPO),small penis (MPO),HP:0030260,MP:0005188
Osteomyelitis (HPO),osteomyelitis (MPO),HP:0002754,MP:0005190
Abnormal uvea morphology (HPO),abnormal uvea morphology (MPO),HP:0000553,MP:0005197
Lethargy (HPO),lethargy (MPO),HP:0001254,MP:0005202
Abnormal trabecular meshwork morphology (HPO),abnormal trabecular meshwork morphology (MPO),HP:0012630,MP:0005203
Ectrodactyly (HPO),ectrodactyly (MPO),HP:0100257,MP:0005230
Cryptophthalmos (HPO),cryptophthalmos (MPO),HP:0001126,MP:0005242
Hemothorax (HPO),hemothorax (MPO),HP:0012151,MP:0005243
Hemopericardium (HPO),hemopericardium (MPO),HP:0011851,MP:0005244
Blepharitis (HPO),blepharitis (MPO),HP:0000498,MP:0005251
Strabismus (HPO),strabismus (MPO),HP:0000486,MP:0005254
Exotropia (HPO),exotropia (MPO),HP:0000577,MP:0005255
Esotropia (HPO),esotropia (MPO),HP:0000565,MP:0005256
Abnormal intraocular pressure (HPO),abnormal intraocular pressure (MPO),HP:0012632,MP:0005257
Ocular hypertension (HPO),ocular hypertension (MPO),HP:0007906,MP:0005258
Coloboma (HPO),coloboma (MPO),HP:0000589,MP:0005262
Glomerulosclerosis (HPO),glomerulosclerosis (MPO),HP:0000096,MP:0005264
Abnormal temporal bone morphology (HPO),abnormal temporal bone morphology (MPO),HP:0009911,MP:0005272
Brainstem dysplasia (HPO),abnormal brainstem morphology (MPO),HP:0002508,MP:0005277
Abnormal circulating cholesterol concentration (HPO),abnormal cholesterol homeostasis (MPO),HP:0003107,MP:0005278
Narcolepsy (HPO),narcolepsy (MPO),HP:0030050,MP:0005279
Blepharophimosis (HPO),narrow eye opening (MPO),HP:0000581,MP:0005287
Glucose intolerance (HPO),impaired glucose tolerance (MPO),HP:0001952,MP:0005293
Impaired glucose tolerance (HPO),impaired glucose tolerance (MPO),HP:0040270,MP:0005293
Abnormal humerus morphology (HPO),abnormal humerus morphology (MPO),HP:0031095,MP:0005296
Spina bifida occulta (HPO),spina bifida occulta (MPO),HP:0003298,MP:0005297
Neurogenic bladder (HPO),neurogenic bladder (MPO),HP:0000011,MP:0005302
Pericardial effusion (HPO),pericardial effusion (MPO),HP:0001698,MP:0005312
Anterior pituitary agenesis (HPO),absent pituitary gland (MPO),HP:0010626,MP:0005315
Dystonia (HPO),dystonia (MPO),HP:0001332,MP:0005323
Ascites (HPO),ascites (MPO),HP:0001541,MP:0005324
Abnormal circulating creatinine level (HPO),abnormal circulating creatinine level (MPO),HP:0012100,MP:0005328
Bradycardia (HPO),decreased heart rate (MPO),HP:0001662,MP:0005333
Abnormal circulating corticosterone level (HPO),abnormal circulating corticosterone level (MPO),HP:0012112,MP:0005345
Microcephaly (HPO),small cranium (MPO),HP:0000252,MP:0005352
Abnormal patella morphology (HPO),abnormal patella morphology (MPO),HP:0003045,MP:0005353
Abnormal nerve conduction velocity (HPO),abnormal nerve conduction (MPO),HP:0040129,MP:0005403
Axonal degeneration (HPO),axon degeneration (MPO),HP:0040078,MP:0005405
Hyperalgesia (HPO),hyperalgesia (MPO),HP:0031005,MP:0005407
Hypopigmentation of the skin (HPO),hypopigmentation (MPO),HP:0001010,MP:0005408
Extrahepatic cholestasis (HPO),extrahepatic cholestasis (MPO),HP:0012334,MP:0005414
Intrahepatic cholestasis (HPO),intrahepatic cholestasis (MPO),HP:0001406,MP:0005415
Abnormal circulating protein level (HPO),abnormal circulating protein level (MPO),HP:0010876,MP:0005416
Cutis laxa (HPO),loose skin (MPO),HP:0000973,MP:0005421
Increased bone mineral density (HPO),osteosclerosis (MPO),HP:0011001,MP:0005422
Tachypnea (HPO),tachypnea (MPO),HP:0002789,MP:0005426
Hemoperitoneum (HPO),hemoperitoneum (MPO),HP:0011854,MP:0005435
Abnormal thyroid hormone level (HPO),abnormal thyroid hormone level (MPO),HP:0031508,MP:0005468
Abnormal circulating thyroxine level (HPO),abnormal circulating thyroxine level (MPO),HP:0031505,MP:0005475
Increased circulating thyroxine level (HPO),increased circulating thyroxine level (MPO),HP:0031506,MP:0005477
Decreased circulating thyroxine level (HPO),decreased circulating thyroxine level (MPO),HP:0031507,MP:0005478
Chronic myelogenous leukemia (HPO),increased chronic myelocytic leukemia incidence (MPO),HP:0005506,MP:0005481
Thrombocytosis (HPO),thrombocytosis (MPO),HP:0001894,MP:0005505
Uveitis (HPO),uveitis (MPO),HP:0000554,MP:0005515
Increased glomerular filtration rate (HPO),increased renal glomerular filtration rate (MPO),HP:0012214,MP:0005527
Decreased glomerular filtration rate (HPO),decreased renal glomerular filtration rate (MPO),HP:0012213,MP:0005528
Hypothermia (HPO),decreased body temperature (MPO),HP:0002045,MP:0005534
Corneal neovascularization (HPO),corneal vascularization (MPO),HP:0011496,MP:0005542
Corneal crystals (HPO),corneal deposits (MPO),HP:0000531,MP:0005544
Choroidal neovascularization (HPO),choroidal neovascularization (MPO),HP:0011506,MP:0005546
Decreased glomerular filtration rate (HPO),decreased creatinine clearance (MPO),HP:0012213,MP:0005558
Increased mean corpuscular hemoglobin concentration (HPO),increased mean corpuscular hemoglobin (MPO),HP:0025548,MP:0005561
Hypochromia (HPO),decreased mean corpuscular hemoglobin (MPO),HP:0032231,MP:0005562
Reduced blood urea nitrogen (HPO),decreased blood urea nitrogen level (MPO),HP:0031969,MP:0005566
Hyperproteinemia (HPO),increased circulating total protein level (MPO),HP:0002152,MP:0005568
Abnormal sperm morphology (HPO),teratozoospermia (MPO),HP:0012864,MP:0005578
Abnormal enzyme/coenzyme activity (HPO),abnormal enzyme/coenzyme activity (MPO),HP:0012379,MP:0005584
Prolonged bleeding time (HPO),increased bleeding time (MPO),HP:0003010,MP:0005606
Abnormal mean corpuscular hemoglobin concentration (HPO),abnormal mean corpuscular hemoglobin concentration (MPO),HP:0025546,MP:0005640
Increased mean corpuscular hemoglobin concentration (HPO),increased mean corpuscular hemoglobin concentration (MPO),HP:0025548,MP:0005641
Decreased mean corpuscular hemoglobin concentration (HPO),decreased mean corpuscular hemoglobin concentration (MPO),HP:0025547,MP:0005642
Sex reversal (HPO),sex reversal (MPO),HP:0012245,MP:0005652
Abnormality of neuronal migration (HPO),abnormal neuronal migration (MPO),HP:0002269,MP:0006009
Pulmonary fibrosis (HPO),pulmonary fibrosis (MPO),HP:0002206,MP:0006050
Right atrial isomerism (HPO),right atrial isomerism (MPO),HP:0011536,MP:0006061
Inguinal hernia (HPO),inguinal hernia (MPO),HP:0000023,MP:0006077
Abnormal nipple morphology (HPO),abnormal nipple morphology (MPO),HP:0004404,MP:0006078
Myocardial necrosis (HPO),myocardium necrosis (MPO),HP:0001700,MP:0006085
Decreased body mass index (HPO),decreased body mass index (MPO),HP:0045082,MP:0006086
Increased body mass index (HPO),increased body mass index (MPO),HP:0031418,MP:0006087
Abnormal vestibular saccule morphology (HPO),abnormal vestibular saccule morphology (MPO),HP:0030999,MP:0006089
Arteriovenous fistula (HPO),arteriovenous malformation (MPO),HP:0004947,MP:0006093
Adipocyte hypertrophy (HPO),increased fat cell size (MPO),HP:0030759,MP:0006094
Ventricular fibrillation (HPO),ventricular fibrillation (MPO),HP:0001663,MP:0006110
Angina pectoris (HPO),angina (MPO),HP:0001681,MP:0006112
Heart murmur (HPO),cardiac murmur (MPO),HP:0030148,MP:0006114
Aortic valve prolapse (HPO),aortic valve prolapse (MPO),HP:0025578,MP:0006118
Mitral atresia (HPO),mitral valve atresia (MPO),HP:0011560,MP:0006119
Tricuspid atresia (HPO),tricuspid valve atresia (MPO),HP:0011662,MP:0006123
Tricuspid stenosis (HPO),tricuspid valve stenosis (MPO),HP:0010446,MP:0006124
Arterial occlusion (HPO),artery occlusion (MPO),HP:0025324,MP:0006134
Varicose veins (HPO),varicose veins (MPO),HP:0002619,MP:0006136
Congestive heart failure (HPO),congestive heart failure (MPO),HP:0001635,MP:0006138
Blurred vision (HPO),decreased visual acuity (MPO),HP:0000622,MP:0006149
Reduced visual acuity (HPO),decreased visual acuity (MPO),HP:0007663,MP:0006149
Diplopia (HPO),double vision (MPO),HP:0000651,MP:0006150
Hypermetropia (HPO),hypermetropia (MPO),HP:0000540,MP:0006153
Ocular albinism (HPO),ocular albinism (MPO),HP:0001107,MP:0006159
Palpebral thickening (HPO),thick eyelids (MPO),HP:0030939,MP:0006162
Entropion (HPO),entropion (MPO),HP:0000621,MP:0006165
Eyelid retraction (HPO),eyelid retraction (MPO),HP:0500043,MP:0006166
Epicanthus inversus (HPO),epicanthus inversus (MPO),HP:0000537,MP:0006168
Keratoconjunctivitis (HPO),keratoconjunctivitis (MPO),HP:0001096,MP:0006194
Deeply set eye (HPO),enophthalmos (MPO),HP:0000490,MP:0006198
Hypertropia (HPO),hypertropia (MPO),HP:0025586,MP:0006199
Preimplantation lethality (HPO),embryonic lethality before implantation (MPO),HP:0032479,MP:0006204
Optic nerve compression (HPO),optic nerve compression (MPO),HP:0007807,MP:0006220
Pseudopapilledema (HPO),optic nerve swelling (MPO),HP:0000538,MP:0006223
Papilledema (HPO),optic nerve swelling (MPO),HP:0001085,MP:0006223
Oculomotor apraxia (HPO),oculomotor apraxia (MPO),HP:0000657,MP:0006224
Polycoria (HPO),polycoria (MPO),HP:0011500,MP:0006235
Anisocoria (HPO),anisocoria (MPO),HP:0009916,MP:0006240
Ectopia pupillae (HPO),abnormal placement of pupils (MPO),HP:0009918,MP:0006241
Leukocoria (HPO),white pupil (MPO),HP:0000555,MP:0006242
Blepharospasm (HPO),eyelid muscle spasm (MPO),HP:0000643,MP:0006244
Cogan lid twitch (HPO),eyelid muscle spasm (MPO),HP:0031786,MP:0006244
Lens luxation (HPO),dislocated lens (MPO),HP:0012019,MP:0006245
Phthisis bulbi (HPO),phthisis bulbi (MPO),HP:0000667,MP:0006249
Clinodactyly (HPO),clinodactyly (MPO),HP:0030084,MP:0006253
Annular pancreas (HPO),annular pancreas (MPO),HP:0001734,MP:0006261
Decreased diastolic blood pressure (HPO),decreased systemic arterial diastolic blood pressure (MPO),HP:0500104,MP:0006263
Decreased systolic blood pressure (HPO),decreased systemic arterial systolic blood pressure (MPO),HP:0500105,MP:0006264
Aortic aneurysm (HPO),aortic aneurysm (MPO),HP:0004942,MP:0006278
